Tissue,model,min_det,AUC_spot,p_spot,AUC_animal,p_animal
Breast tissue,PLS,0.0,1.0,0.002,0.992,0.002
Breast tissue,PLS,0.1,1.0,0.002,0.989,0.002
Breast tissue,PLS,0.2,0.997,0.002,0.989,0.002
Breast tissue,PLS,0.3,0.997,0.002,0.989,0.002
Breast tissue,RF,0.0,0.997,0.002,0.996,0.002
Breast tissue,RF,0.1,0.994,0.002,0.992,0.002
Breast tissue,RF,0.2,0.997,0.002,0.992,0.002
Breast tissue,RF,0.3,0.997,0.002,0.992,0.002
Fur,PLS,0.0,0.76,0.1836,0.88,0.018
Fur,PLS,0.1,0.75,0.1816,0.91,0.006
Fur,PLS,0.2,0.66,0.4112,0.88,0.0259
Fur,PLS,0.3,0.55,0.7964,0.93,0.008
Fur,RF,0.0,0.74,0.3054,0.73,0.3194
Fur,RF,0.1,0.73,0.2814,0.74,0.2874
Fur,RF,0.2,0.74,0.2495,0.705,0.3713
Fur,RF,0.3,0.69,0.3653,0.7,0.4192
Liver,PLS,0.0,0.542,0.9082,0.583,0.7924
Liver,PLS,0.1,0.562,0.8244,0.583,0.7665
Liver,PLS,0.2,0.542,0.8164,0.583,0.8383
Liver,PLS,0.3,0.562,0.8164,0.583,0.7405
Liver,RF,0.0,0.417,0.9022,0.375,0.8723
Liver,RF,0.1,0.417,0.8623,0.375,0.9062
Liver,RF,0.2,0.417,0.8842,0.375,0.8563
Liver,RF,0.3,0.375,0.8523,0.375,0.8782
Blood serum,PLS,0.0,0.5,1.0,0.547,0.8383
Blood serum,PLS,0.1,0.531,0.984,0.547,0.8483
Blood serum,PLS,0.2,0.406,0.8204,0.547,0.8503
Blood serum,PLS,0.3,0.469,0.9421,0.562,0.8164
Blood serum,RF,0.0,0.281,0.5808,0.328,0.6567
Blood serum,RF,0.1,0.281,0.5828,0.375,0.7545
Blood serum,RF,0.2,0.312,0.5988,0.344,0.6647
Blood serum,RF,0.3,0.281,0.5589,0.344,0.7106
