Feature,RF_selfreq,Univ_selfreq,PLS_selfreq,mean_freq
80.06,1.0,1.0,0.026,1.0
52.02,1.0,1.0,0.0,1.0
53.02,1.0,1.0,0.026,1.0
54.04,1.0,1.0,1.0,1.0
67.05,1.0,1.0,1.0,1.0
66.02,1.0,1.0,0.0,1.0
118.07,0.947,0.974,0.0,0.961
55.03,0.632,0.947,1.0,0.789
74.09,0.526,0.974,0.0,0.75
78.02,0.184,1.0,0.0,0.592
65.03,0.184,1.0,0.0,0.592
69.05,0.447,0.684,1.0,0.566
167.05,0.105,1.0,0.0,0.553
141.06,0.974,0.053,0.0,0.513
145.09,1.0,0.0,0.0,0.5
152.03,0.026,0.974,0.0,0.5
119.03,0.974,0.0,0.0,0.487
156.85,0.974,0.0,1.0,0.487
131.08,0.947,0.0,0.0,0.474
130.06,0.0,0.868,0.0,0.434
79.0,0.632,0.0,1.0,0.316
68.05,0.237,0.079,0.0,0.158
83.04,0.053,0.105,1.0,0.079
51.01,0.0,0.158,0.0,0.079
120.08,0.0,0.105,0.0,0.053
128.05,0.079,0.0,0.0,0.039
133.1,0.079,0.0,0.0,0.039
108.94,0.0,0.026,0.0,0.013
139.04,0.0,0.026,0.0,0.013
143.08,0.0,0.026,0.0,0.013
170.82,0.0,0.0,0.0,0.0
170.11,0.0,0.0,0.0,0.0
169.91,0.0,0.0,0.0,0.0
169.08,0.0,0.0,0.0,0.0
168.93,0.0,0.0,0.0,0.0
171.06,0.0,0.0,0.0,0.0
168.26,0.0,0.0,0.0,0.0
168.07,0.0,0.0,0.0,0.0
165.79,0.0,0.0,0.0,0.0
185.05,0.0,0.0,0.0,0.0
184.23,0.0,0.0,0.0,0.0
184.1,0.0,0.0,0.0,0.0
182.93,0.0,0.0,0.0,0.0
182.0,0.0,0.0,0.0,0.0
181.09,0.0,0.0,0.0,0.0
180.88,0.0,0.0,0.0,0.0
180.04,0.0,0.0,0.0,0.0
179.05,0.0,0.0,0.0,0.0
166.05,0.0,0.0,0.0,0.0
176.87,0.0,0.0,0.0,0.0
174.87,0.0,0.0,0.0,0.0
173.87,0.0,0.0,0.0,0.0
173.13,0.0,0.0,0.0,0.0
172.82,0.0,0.0,0.0,0.0
172.09,0.0,0.0,0.0,0.0
171.89,0.0,0.0,0.0,0.0
171.64,0.0,0.0,0.0,0.0
178.05,0.0,0.0,0.0,0.0
150.41,0.0,0.0,0.0,0.0
150.94,0.0,0.0,0.0,0.0
150.04,0.0,0.0,0.0,0.0
151.21,0.0,0.0,0.0,0.0
152.45,0.0,0.0,0.0,0.0
153.02,0.0,0.0,0.0,0.0
154.04,0.0,0.0,0.0,0.0
154.33,0.0,0.0,0.0,0.0
154.66,0.0,0.0,0.0,0.0
154.85,0.0,0.0,0.0,0.0
155.06,0.0,0.0,0.0,0.0
155.44,0.0,0.0,0.0,0.0
155.69,0.0,0.0,0.0,0.0
156.05,0.0,0.0,0.0,0.0
156.3,0.0,0.0,0.0,0.0
160.05,0.0,0.0,0.0,0.0
165.39,0.0,0.0,0.0,0.0
165.04,0.0,0.0,0.0,0.0
164.9,0.0,0.0,0.0,0.0
164.26,0.0,0.0,0.0,0.0
163.87,0.0,0.0,0.0,0.0
161.01,0.0,0.0,0.0,0.0
159.72,0.0,0.0,0.0,0.0
156.65,0.0,0.0,0.0,0.0
158.89,0.0,0.0,0.0,0.0
158.52,0.0,0.0,0.0,0.0
148.93,0.0,0.0,0.0,0.0
158.22,0.0,0.0,0.0,0.0
157.87,0.0,0.0,0.0,0.0
157.78,0.0,0.0,0.0,0.0
157.41,0.0,0.0,0.0,0.0
157.08,0.0,0.0,0.0,0.0
159.1,0.0,0.0,0.0,0.0
246.94,0.0,0.0,0.0,0.0
246.72,0.0,0.0,0.0,0.0
246.44,0.0,0.0,0.0,0.0
246.13,0.0,0.0,0.0,0.0
246.04,0.0,0.0,0.0,0.0
245.44,0.0,0.0,0.0,0.0
58.06,0.0,0.0,0.974,0.0
231.66,0.0,0.0,0.0,0.0
149.14,0.0,0.0,0.0,0.0
231.22,0.0,0.0,0.0,0.0
231.04,0.0,0.0,0.0,0.0
230.54,0.0,0.0,0.0,0.0
230.0,0.0,0.0,0.0,0.0
229.53,0.0,0.0,0.0,0.0
229.2,0.0,0.0,0.0,0.0
228.51,0.0,0.0,0.0,0.0
228.2,0.0,0.0,0.0,0.0
226.07,0.0,0.0,0.0,0.0
231.46,0.0,0.0,0.0,0.0
68.27,0.0,0.0,0.0,0.0
67.25,0.0,0.0,0.0,0.0
66.21,0.0,0.0,0.0,0.0
65.18,0.0,0.0,0.0,0.0
64.03,0.0,0.0,0.0,0.0
63.0,0.0,0.0,0.0,0.0
61.98,0.0,0.0,0.0,0.0
61.02,0.0,0.0,0.0,0.0
247.17,0.0,0.0,0.0,0.0
69.3,0.0,0.0,0.0,0.0
245.05,0.0,0.0,0.0,0.0
248.93,0.0,0.0,0.0,0.0
248.76,0.0,0.0,0.0,0.0
248.47,0.0,0.0,0.0,0.0
248.17,0.0,0.0,0.0,0.0
247.94,0.0,0.0,0.0,0.0
247.74,0.0,0.0,0.0,0.0
247.45,0.0,0.0,0.0,0.0
60.07,0.0,0.0,0.0,0.0
202.05,0.0,0.0,0.0,0.0
200.84,0.0,0.0,0.0,0.0
199.76,0.0,0.0,0.0,0.0
198.85,0.0,0.0,0.0,0.0
197.79,0.0,0.0,0.0,0.0
196.85,0.0,0.0,0.0,0.0
195.81,0.0,0.0,0.0,0.0
192.8,0.0,0.0,0.0,0.0
225.43,0.0,0.0,0.0,0.0
190.82,0.0,0.0,0.0,0.0
190.26,0.0,0.0,0.0,0.0
190.09,0.0,0.0,0.0,0.0
189.86,0.0,0.0,0.0,0.0
189.04,0.0,0.0,0.0,0.0
188.82,0.0,0.0,0.0,0.0
187.85,0.0,0.0,0.0,0.0
186.86,0.0,0.0,0.0,0.0
185.93,0.0,0.0,0.0,0.0
191.06,0.0,0.0,0.0,0.0
224.3,0.0,0.0,0.0,0.0
224.1,0.0,0.0,0.0,0.0
222.03,0.0,0.0,0.0,0.0
215.06,0.0,0.0,0.0,0.0
214.83,0.0,0.0,0.0,0.0
213.56,0.0,0.0,0.0,0.0
212.83,0.0,0.0,0.0,0.0
211.59,0.0,0.0,0.0,0.0
202.86,0.0,0.0,0.0,0.0
209.59,0.0,0.0,0.0,0.0
209.37,0.0,0.0,0.0,0.0
207.01,0.0,0.0,0.0,0.0
