Tissue,training_representation,held_out_animal,min_det,features_retained
Mammary tissue,spot,Ca_10b,0.0,313
Mammary tissue,spot,Ca_10b,0.1,132
Mammary tissue,spot,Ca_10b,0.2,118
Mammary tissue,spot,Ca_10b,0.3,105
Mammary tissue,spot,Ca_12b,0.0,313
Mammary tissue,spot,Ca_12b,0.1,132
Mammary tissue,spot,Ca_12b,0.2,119
Mammary tissue,spot,Ca_12b,0.3,106
Mammary tissue,spot,Ca_13b,0.0,313
Mammary tissue,spot,Ca_13b,0.1,132
Mammary tissue,spot,Ca_13b,0.2,119
Mammary tissue,spot,Ca_13b,0.3,108
Mammary tissue,spot,Ca_14b,0.0,313
Mammary tissue,spot,Ca_14b,0.1,132
Mammary tissue,spot,Ca_14b,0.2,119
Mammary tissue,spot,Ca_14b,0.3,108
Mammary tissue,spot,Ca_15b,0.0,313
Mammary tissue,spot,Ca_15b,0.1,132
Mammary tissue,spot,Ca_15b,0.2,119
Mammary tissue,spot,Ca_15b,0.3,107
Mammary tissue,spot,Ca_16b,0.0,313
Mammary tissue,spot,Ca_16b,0.1,132
Mammary tissue,spot,Ca_16b,0.2,119
Mammary tissue,spot,Ca_16b,0.3,107
Mammary tissue,spot,Ca_17b,0.0,313
Mammary tissue,spot,Ca_17b,0.1,132
Mammary tissue,spot,Ca_17b,0.2,119
Mammary tissue,spot,Ca_17b,0.3,106
Mammary tissue,spot,Ca_18b,0.0,313
Mammary tissue,spot,Ca_18b,0.1,132
Mammary tissue,spot,Ca_18b,0.2,118
Mammary tissue,spot,Ca_18b,0.3,105
Mammary tissue,spot,Ca_19b,0.0,313
Mammary tissue,spot,Ca_19b,0.1,131
Mammary tissue,spot,Ca_19b,0.2,117
Mammary tissue,spot,Ca_19b,0.3,105
Mammary tissue,spot,Ca_1b,0.0,313
Mammary tissue,spot,Ca_1b,0.1,132
Mammary tissue,spot,Ca_1b,0.2,119
Mammary tissue,spot,Ca_1b,0.3,108
Mammary tissue,spot,Ca_20b,0.0,313
Mammary tissue,spot,Ca_20b,0.1,132
Mammary tissue,spot,Ca_20b,0.2,118
Mammary tissue,spot,Ca_20b,0.3,108
Mammary tissue,spot,Ca_2b,0.0,313
Mammary tissue,spot,Ca_2b,0.1,132
Mammary tissue,spot,Ca_2b,0.2,119
Mammary tissue,spot,Ca_2b,0.3,108
Mammary tissue,spot,Ca_3b,0.0,313
Mammary tissue,spot,Ca_3b,0.1,131
Mammary tissue,spot,Ca_3b,0.2,118
Mammary tissue,spot,Ca_3b,0.3,105
Mammary tissue,spot,Ca_4b,0.0,313
Mammary tissue,spot,Ca_4b,0.1,132
Mammary tissue,spot,Ca_4b,0.2,118
Mammary tissue,spot,Ca_4b,0.3,105
Mammary tissue,spot,Ca_5b,0.0,313
Mammary tissue,spot,Ca_5b,0.1,132
Mammary tissue,spot,Ca_5b,0.2,118
Mammary tissue,spot,Ca_5b,0.3,105
Mammary tissue,spot,Ca_6b,0.0,313
Mammary tissue,spot,Ca_6b,0.1,132
Mammary tissue,spot,Ca_6b,0.2,119
Mammary tissue,spot,Ca_6b,0.3,108
Mammary tissue,spot,Ca_7b,0.0,313
Mammary tissue,spot,Ca_7b,0.1,131
Mammary tissue,spot,Ca_7b,0.2,116
Mammary tissue,spot,Ca_7b,0.3,105
Mammary tissue,spot,Ca_8b,0.0,313
Mammary tissue,spot,Ca_8b,0.1,131
Mammary tissue,spot,Ca_8b,0.2,117
Mammary tissue,spot,Ca_8b,0.3,105
Mammary tissue,spot,Ca_9b,0.0,313
Mammary tissue,spot,Ca_9b,0.1,131
Mammary tissue,spot,Ca_9b,0.2,118
Mammary tissue,spot,Ca_9b,0.3,105
Mammary tissue,spot,Co_10b,0.0,313
Mammary tissue,spot,Co_10b,0.1,132
Mammary tissue,spot,Co_10b,0.2,119
Mammary tissue,spot,Co_10b,0.3,107
Mammary tissue,spot,Co_11b,0.0,313
Mammary tissue,spot,Co_11b,0.1,132
Mammary tissue,spot,Co_11b,0.2,119
Mammary tissue,spot,Co_11b,0.3,106
Mammary tissue,spot,Co_12b,0.0,313
Mammary tissue,spot,Co_12b,0.1,132
Mammary tissue,spot,Co_12b,0.2,119
Mammary tissue,spot,Co_12b,0.3,108
Mammary tissue,spot,Co_13b,0.0,313
Mammary tissue,spot,Co_13b,0.1,132
Mammary tissue,spot,Co_13b,0.2,119
Mammary tissue,spot,Co_13b,0.3,106
Mammary tissue,spot,Co_14b,0.0,313
Mammary tissue,spot,Co_14b,0.1,132
Mammary tissue,spot,Co_14b,0.2,116
Mammary tissue,spot,Co_14b,0.3,108
Mammary tissue,spot,Co_16b,0.0,313
Mammary tissue,spot,Co_16b,0.1,132
Mammary tissue,spot,Co_16b,0.2,118
Mammary tissue,spot,Co_16b,0.3,107
Mammary tissue,spot,Co_17b,0.0,313
Mammary tissue,spot,Co_17b,0.1,132
Mammary tissue,spot,Co_17b,0.2,119
Mammary tissue,spot,Co_17b,0.3,108
Mammary tissue,spot,Co_18b,0.0,313
Mammary tissue,spot,Co_18b,0.1,132
Mammary tissue,spot,Co_18b,0.2,119
Mammary tissue,spot,Co_18b,0.3,107
Mammary tissue,spot,Co_19b,0.0,313
Mammary tissue,spot,Co_19b,0.1,132
Mammary tissue,spot,Co_19b,0.2,119
Mammary tissue,spot,Co_19b,0.3,108
Mammary tissue,spot,Co_1b,0.0,313
Mammary tissue,spot,Co_1b,0.1,131
Mammary tissue,spot,Co_1b,0.2,117
Mammary tissue,spot,Co_1b,0.3,107
Mammary tissue,spot,Co_20b,0.0,313
Mammary tissue,spot,Co_20b,0.1,131
Mammary tissue,spot,Co_20b,0.2,117
Mammary tissue,spot,Co_20b,0.3,106
Mammary tissue,spot,Co_2b,0.0,313
Mammary tissue,spot,Co_2b,0.1,132
Mammary tissue,spot,Co_2b,0.2,117
Mammary tissue,spot,Co_2b,0.3,108
Mammary tissue,spot,Co_3b,0.0,313
Mammary tissue,spot,Co_3b,0.1,132
Mammary tissue,spot,Co_3b,0.2,117
Mammary tissue,spot,Co_3b,0.3,107
Mammary tissue,spot,Co_4b,0.0,313
Mammary tissue,spot,Co_4b,0.1,132
Mammary tissue,spot,Co_4b,0.2,117
Mammary tissue,spot,Co_4b,0.3,108
Mammary tissue,spot,Co_5b,0.0,313
Mammary tissue,spot,Co_5b,0.1,131
Mammary tissue,spot,Co_5b,0.2,117
Mammary tissue,spot,Co_5b,0.3,106
Mammary tissue,spot,Co_6b,0.0,313
Mammary tissue,spot,Co_6b,0.1,131
Mammary tissue,spot,Co_6b,0.2,116
Mammary tissue,spot,Co_6b,0.3,107
Mammary tissue,spot,Co_7b,0.0,313
Mammary tissue,spot,Co_7b,0.1,132
Mammary tissue,spot,Co_7b,0.2,119
Mammary tissue,spot,Co_7b,0.3,107
Mammary tissue,spot,Co_8b,0.0,313
Mammary tissue,spot,Co_8b,0.1,132
Mammary tissue,spot,Co_8b,0.2,119
Mammary tissue,spot,Co_8b,0.3,108
Mammary tissue,spot,Co_9b,0.0,313
Mammary tissue,spot,Co_9b,0.1,131
Mammary tissue,spot,Co_9b,0.2,117
Mammary tissue,spot,Co_9b,0.3,107
Mammary tissue,animal-mean,Ca_10b,0.0,313
Mammary tissue,animal-mean,Ca_10b,0.1,146
Mammary tissue,animal-mean,Ca_10b,0.2,130
Mammary tissue,animal-mean,Ca_10b,0.3,117
Mammary tissue,animal-mean,Ca_12b,0.0,313
Mammary tissue,animal-mean,Ca_12b,0.1,146
Mammary tissue,animal-mean,Ca_12b,0.2,130
Mammary tissue,animal-mean,Ca_12b,0.3,117
Mammary tissue,animal-mean,Ca_13b,0.0,313
Mammary tissue,animal-mean,Ca_13b,0.1,146
Mammary tissue,animal-mean,Ca_13b,0.2,130
Mammary tissue,animal-mean,Ca_13b,0.3,119
Mammary tissue,animal-mean,Ca_14b,0.0,313
Mammary tissue,animal-mean,Ca_14b,0.1,146
Mammary tissue,animal-mean,Ca_14b,0.2,130
Mammary tissue,animal-mean,Ca_14b,0.3,118
Mammary tissue,animal-mean,Ca_15b,0.0,313
Mammary tissue,animal-mean,Ca_15b,0.1,145
Mammary tissue,animal-mean,Ca_15b,0.2,130
Mammary tissue,animal-mean,Ca_15b,0.3,118
Mammary tissue,animal-mean,Ca_16b,0.0,313
Mammary tissue,animal-mean,Ca_16b,0.1,146
Mammary tissue,animal-mean,Ca_16b,0.2,130
Mammary tissue,animal-mean,Ca_16b,0.3,119
Mammary tissue,animal-mean,Ca_17b,0.0,313
Mammary tissue,animal-mean,Ca_17b,0.1,146
Mammary tissue,animal-mean,Ca_17b,0.2,130
Mammary tissue,animal-mean,Ca_17b,0.3,118
Mammary tissue,animal-mean,Ca_18b,0.0,313
Mammary tissue,animal-mean,Ca_18b,0.1,146
Mammary tissue,animal-mean,Ca_18b,0.2,128
Mammary tissue,animal-mean,Ca_18b,0.3,117
Mammary tissue,animal-mean,Ca_19b,0.0,313
Mammary tissue,animal-mean,Ca_19b,0.1,146
Mammary tissue,animal-mean,Ca_19b,0.2,128
Mammary tissue,animal-mean,Ca_19b,0.3,117
Mammary tissue,animal-mean,Ca_1b,0.0,313
Mammary tissue,animal-mean,Ca_1b,0.1,146
Mammary tissue,animal-mean,Ca_1b,0.2,130
Mammary tissue,animal-mean,Ca_1b,0.3,119
Mammary tissue,animal-mean,Ca_20b,0.0,313
Mammary tissue,animal-mean,Ca_20b,0.1,146
Mammary tissue,animal-mean,Ca_20b,0.2,130
Mammary tissue,animal-mean,Ca_20b,0.3,119
Mammary tissue,animal-mean,Ca_2b,0.0,313
Mammary tissue,animal-mean,Ca_2b,0.1,146
Mammary tissue,animal-mean,Ca_2b,0.2,130
Mammary tissue,animal-mean,Ca_2b,0.3,119
Mammary tissue,animal-mean,Ca_3b,0.0,313
Mammary tissue,animal-mean,Ca_3b,0.1,143
Mammary tissue,animal-mean,Ca_3b,0.2,127
Mammary tissue,animal-mean,Ca_3b,0.3,117
Mammary tissue,animal-mean,Ca_4b,0.0,313
Mammary tissue,animal-mean,Ca_4b,0.1,146
Mammary tissue,animal-mean,Ca_4b,0.2,128
Mammary tissue,animal-mean,Ca_4b,0.3,117
Mammary tissue,animal-mean,Ca_5b,0.0,313
Mammary tissue,animal-mean,Ca_5b,0.1,144
Mammary tissue,animal-mean,Ca_5b,0.2,129
Mammary tissue,animal-mean,Ca_5b,0.3,117
Mammary tissue,animal-mean,Ca_6b,0.0,313
Mammary tissue,animal-mean,Ca_6b,0.1,146
Mammary tissue,animal-mean,Ca_6b,0.2,130
Mammary tissue,animal-mean,Ca_6b,0.3,119
Mammary tissue,animal-mean,Ca_7b,0.0,313
Mammary tissue,animal-mean,Ca_7b,0.1,143
Mammary tissue,animal-mean,Ca_7b,0.2,127
Mammary tissue,animal-mean,Ca_7b,0.3,117
Mammary tissue,animal-mean,Ca_8b,0.0,313
Mammary tissue,animal-mean,Ca_8b,0.1,145
Mammary tissue,animal-mean,Ca_8b,0.2,128
Mammary tissue,animal-mean,Ca_8b,0.3,117
Mammary tissue,animal-mean,Ca_9b,0.0,313
Mammary tissue,animal-mean,Ca_9b,0.1,143
Mammary tissue,animal-mean,Ca_9b,0.2,127
Mammary tissue,animal-mean,Ca_9b,0.3,117
Mammary tissue,animal-mean,Co_10b,0.0,313
Mammary tissue,animal-mean,Co_10b,0.1,146
Mammary tissue,animal-mean,Co_10b,0.2,130
Mammary tissue,animal-mean,Co_10b,0.3,118
Mammary tissue,animal-mean,Co_11b,0.0,313
Mammary tissue,animal-mean,Co_11b,0.1,145
Mammary tissue,animal-mean,Co_11b,0.2,130
Mammary tissue,animal-mean,Co_11b,0.3,118
Mammary tissue,animal-mean,Co_12b,0.0,313
Mammary tissue,animal-mean,Co_12b,0.1,146
Mammary tissue,animal-mean,Co_12b,0.2,130
Mammary tissue,animal-mean,Co_12b,0.3,118
Mammary tissue,animal-mean,Co_13b,0.0,313
Mammary tissue,animal-mean,Co_13b,0.1,146
Mammary tissue,animal-mean,Co_13b,0.2,130
Mammary tissue,animal-mean,Co_13b,0.3,118
Mammary tissue,animal-mean,Co_14b,0.0,313
Mammary tissue,animal-mean,Co_14b,0.1,144
Mammary tissue,animal-mean,Co_14b,0.2,130
Mammary tissue,animal-mean,Co_14b,0.3,119
Mammary tissue,animal-mean,Co_16b,0.0,313
Mammary tissue,animal-mean,Co_16b,0.1,145
Mammary tissue,animal-mean,Co_16b,0.2,130
Mammary tissue,animal-mean,Co_16b,0.3,119
Mammary tissue,animal-mean,Co_17b,0.0,313
Mammary tissue,animal-mean,Co_17b,0.1,145
Mammary tissue,animal-mean,Co_17b,0.2,130
Mammary tissue,animal-mean,Co_17b,0.3,117
Mammary tissue,animal-mean,Co_18b,0.0,313
Mammary tissue,animal-mean,Co_18b,0.1,146
Mammary tissue,animal-mean,Co_18b,0.2,130
Mammary tissue,animal-mean,Co_18b,0.3,118
Mammary tissue,animal-mean,Co_19b,0.0,313
Mammary tissue,animal-mean,Co_19b,0.1,145
Mammary tissue,animal-mean,Co_19b,0.2,130
Mammary tissue,animal-mean,Co_19b,0.3,118
Mammary tissue,animal-mean,Co_1b,0.0,313
Mammary tissue,animal-mean,Co_1b,0.1,145
Mammary tissue,animal-mean,Co_1b,0.2,128
Mammary tissue,animal-mean,Co_1b,0.3,119
Mammary tissue,animal-mean,Co_20b,0.0,313
Mammary tissue,animal-mean,Co_20b,0.1,146
Mammary tissue,animal-mean,Co_20b,0.2,129
Mammary tissue,animal-mean,Co_20b,0.3,118
Mammary tissue,animal-mean,Co_2b,0.0,313
Mammary tissue,animal-mean,Co_2b,0.1,145
Mammary tissue,animal-mean,Co_2b,0.2,130
Mammary tissue,animal-mean,Co_2b,0.3,119
