Tissue,training_representation,min_det,n_LOAO_folds,retained_min,retained_median,retained_max
Fur,animal-mean,0.0,20,313,313.0,313
Fur,animal-mean,0.1,20,145,156.0,157
Fur,animal-mean,0.2,20,108,111.0,112
Fur,animal-mean,0.3,20,85,90.0,91
Fur,spot,0.0,20,313,313.0,313
Fur,spot,0.1,20,93,104.5,106
Fur,spot,0.2,20,57,73.5,76
Fur,spot,0.3,20,38,42.0,43
Liver,animal-mean,0.0,10,313,313.0,313
Liver,animal-mean,0.1,10,145,147.0,147
Liver,animal-mean,0.2,10,129,140.5,141
Liver,animal-mean,0.3,10,126,127.5,128
Liver,spot,0.0,10,313,313.0,313
Liver,spot,0.1,10,131,135.5,136
Liver,spot,0.2,10,121,125.5,127
Liver,spot,0.3,10,118,119.0,120
Mammary tissue,animal-mean,0.0,38,313,313.0,313
Mammary tissue,animal-mean,0.1,38,143,146.0,146
Mammary tissue,animal-mean,0.2,38,127,130.0,130
Mammary tissue,animal-mean,0.3,38,117,118.0,119
Mammary tissue,spot,0.0,38,313,313.0,313
Mammary tissue,spot,0.1,38,131,132.0,132
Mammary tissue,spot,0.2,38,116,118.0,119
Mammary tissue,spot,0.3,38,105,107.0,108
Serum,animal-mean,0.0,12,313,313.0,313
Serum,animal-mean,0.1,12,153,162.0,163
Serum,animal-mean,0.2,12,141,147.5,150
Serum,animal-mean,0.3,12,119,136.5,139
Serum,spot,0.0,12,313,313.0,313
Serum,spot,0.1,12,134,138.5,141
Serum,spot,0.2,12,107,108.0,110
Serum,spot,0.3,12,99,100.0,102
