Tissue,Feature,n_cancer_animals,n_control_animals,cancer_mean,control_mean,log2_fc_plus1_cancer_control,rank_biserial_cancer_control,p_mwu,FDR_BH,cancer_detection_frequency,control_detection_frequency,absolute_detection_frequency_difference,FDR_significant,detection_difference_gt_0_30
Mammary tissue,50.01,19,19,0.020565288171178066,0.023086785827880547,-0.0035600521802622263,-0.05817174515235457,0.7703145730111978,1.0,0.8947368421052632,1.0,0.10526315789473684,False,False
Mammary tissue,51.01,19,19,0.21504545945992978,0.2693409171540622,-0.06306930595979686,-0.8614958448753463,6.0342465623087985e-06,9.44359587001327e-05,1.0,1.0,0.0,True,False
Mammary tissue,52.02,19,19,0.1137392641521963,0.17110987319727558,-0.07246491042030198,-1.0,1.4798065133032065e-07,2.2897197951548946e-05,1.0,1.0,0.0,True,False
Mammary tissue,53.02,19,19,0.8343852699589418,1.132819650606793,-0.21746530249174842,-0.9944598337950139,1.733477288980463e-07,2.2897197951548946e-05,1.0,1.0,0.0,True,False
Mammary tissue,54.04,19,19,0.3825987602203688,0.8636274054161469,-0.4307309140554457,-0.8947368421052632,2.5971050779353833e-06,5.697883651157242e-05,1.0,1.0,0.0,True,False
Mammary tissue,55.03,19,19,3.7155197375570115,6.114176438672478,-0.5932799637585411,-0.8060941828254847,2.303501562744901e-05,0.00019486378084842,1.0,1.0,0.0,True,False
Mammary tissue,56.04,19,19,0.6224273953459556,0.6793292453614688,-0.049731191267664135,-0.5290858725761773,0.005545667315244056,0.018465892230546697,1.0,1.0,0.0,True,False
Mammary tissue,57.03,19,19,1.4552490920049983,2.4848683757389636,-0.5052347687260048,-0.8448753462603878,9.096680073059212e-06,0.00012379395055945797,1.0,1.0,0.0,True,False
Mammary tissue,58.06,19,19,4.550785252297547,3.353187525835663,0.3506197098493605,0.6731301939058172,0.00041154996248824344,0.001922614003862988,1.0,1.0,0.0,True,False
Mammary tissue,59.06,19,19,1.1097774773635163,0.7926905871822438,0.23496433788049137,0.7229916897506925,0.00014745484874210306,0.0008394039637663832,1.0,1.0,0.0,True,False
