Tissue,Feature,n_cancer_animals,n_control_animals,cancer_mean,control_mean,log2_fc_plus1_cancer_control,rank_biserial_cancer_control,p_mwu,FDR_BH,cancer_detection_frequency,control_detection_frequency,absolute_detection_frequency_difference,FDR_significant,detection_difference_gt_0_30
Fur,50.01,10,10,0.006727261824965154,0.00325693206980011,0.004981763058729732,0.28,0.31499924224382436,1.0,0.6,0.4,0.19999999999999996,False,False
Fur,51.01,10,10,0.22332687876853172,0.18257203925356147,0.04888187884292481,0.74,0.003886206672584382,0.7196648552685705,1.0,1.0,0.0,False,False
Fur,52.02,10,10,0.11783463608063785,0.0958110566025634,0.02870771722828969,0.6799999999999999,0.00893069778518695,0.7196648552685705,1.0,1.0,0.0,False,False
Fur,53.02,10,10,0.9691549144431674,0.8281929809337567,0.10715824641202266,0.6599999999999999,0.011496243694386109,0.7196648552685705,1.0,1.0,0.0,False,False
Fur,54.04,10,10,0.5199752729962535,0.45778010104385114,0.060274741425299073,0.43999999999999995,0.10512243174781875,1.0,1.0,1.0,0.0,False,False
Fur,55.03,10,10,5.243057004339341,4.256641085016605,0.2481114054889026,0.6599999999999999,0.011496243694386109,0.7196648552685705,1.0,1.0,0.0,False,False
Fur,56.04,10,10,0.5554808660176389,0.49483953080837956,0.0573700271875178,0.48,0.07525601333650869,1.0,1.0,1.0,0.0,False,False
Fur,57.03,10,10,2.92934918116532,2.4820683501059904,0.17434585625225643,0.43999999999999995,0.10512243174781875,1.0,1.0,1.0,0.0,False,False
Fur,58.06,10,10,0.6118415427858943,0.5261348375823399,0.0788274888232628,0.3600000000000001,0.19031587607439004,1.0,1.0,1.0,0.0,False,False
Fur,59.06,10,10,0.15127697916837102,0.4093629455251711,-0.29180822384363136,-0.51,0.06301283855463422,1.0,0.5,0.9,0.4,False,True
Fur,60.07,10,10,0.056788769324002085,0.07521783457523716,-0.02494193331537648,-0.14,0.6305289138106477,1.0,0.8,0.8,0.0,False,False
Fur,61.02,10,10,0.004145588602920832,0.007330580189793675,-0.004568759480326843,0.040000000000000036,0.9117971811470265,1.0,0.3,0.2,0.09999999999999998,False,False
Fur,61.98,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Fur,63.0,10,10,0.14502371715064322,0.14097033378185392,0.005116200727755764,0.30000000000000004,0.27986100586719787,1.0,1.0,1.0,0.0,False,False
Fur,64.03,10,10,0.003075887929987773,0.0,0.0044307574941279595,0.19999999999999996,0.48125094719521977,1.0,0.2,0.0,0.2,False,False
Fur,65.03,10,10,0.3207454167651532,0.30891076840995935,0.012985654825691412,0.06000000000000005,0.8534283054406895,1.0,1.0,0.9,0.09999999999999998,False,False
Fur,65.18,10,10,0.11807580564179507,0.06852732033049683,0.06539421075428511,0.32000000000000006,0.24745069172313758,1.0,0.6,0.3,0.3,False,False
Fur,66.02,10,10,0.11055007358845095,0.10763937231495291,0.0037862020403348568,0.0,1.0,1.0,1.0,0.9,0.09999999999999998,False,False
Fur,66.21,10,10,0.04141738898094101,0.023971634498163443,0.024372650180391968,0.3400000000000001,0.21756262313537858,1.0,0.6,0.3,0.3,False,False
Fur,67.05,10,10,1.3420661700895316,1.235581893731019,0.06713144110386114,0.10000000000000009,0.7393643508194593,1.0,1.0,0.9,0.09999999999999998,False,False
Fur,67.25,10,10,0.5052348581170782,0.24380267600742028,0.2752309785265624,0.3999999999999999,0.143140141592154,1.0,0.6,0.2,0.39999999999999997,False,True
Fur,68.05,10,10,0.26226799159778935,0.2502135747044918,0.013843668465387645,-0.06000000000000005,0.8534283054406895,1.0,1.0,0.9,0.09999999999999998,False,False
Fur,68.27,10,10,0.10164880884557068,0.05023767770624586,0.06894852600987915,0.3999999999999999,0.143140141592154,1.0,0.6,0.2,0.39999999999999997,False,True
Fur,69.05,10,10,1.8089733488669322,1.5314921188304802,0.1500549436638333,0.10000000000000009,0.7393643508194593,1.0,1.0,0.9,0.09999999999999998,False,False
Fur,69.3,10,10,0.7200297718726197,0.3384720138778686,0.36184656267723,0.3999999999999999,0.143140141592154,1.0,0.6,0.2,0.39999999999999997,False,True
Fur,70.06,10,10,0.19424824654984893,0.1534561553080521,0.05013959263569593,0.3400000000000001,0.21756262313537858,1.0,1.0,0.7,0.30000000000000004,False,True
Fur,70.33,10,10,0.08537450919745879,0.024887294290419977,0.08272766456485789,0.3999999999999999,0.143140141592154,1.0,0.6,0.2,0.39999999999999997,False,True
Fur,71.05,10,10,0.3198991058617521,0.23614849812100394,0.09457558889756483,0.1399999999999999,0.6305289138106477,1.0,0.6,0.5,0.09999999999999998,False,False
Fur,71.37,10,10,0.06920801264258244,0.06457534594997656,0.006264493288876668,0.08000000000000007,0.7959362618805345,1.0,0.3,0.2,0.09999999999999998,False,False
Fur,72.03,10,10,0.019382851893069965,0.045010594573212236,-0.035821579300478815,-0.28,0.31499924224382436,1.0,0.6,0.6,0.0,False,False
Fur,72.35,10,10,0.009019779371222952,0.0024688766523042497,0.009397008778856198,0.28,0.31499924224382436,1.0,0.4,0.1,0.30000000000000004,False,True
Fur,73.05,10,10,1.4338309128892952,2.437551935484058,-0.4981525680779194,-0.15000000000000002,0.6305289138106477,1.0,0.5,0.5,0.0,False,False
Fur,73.38,10,10,0.3126310361655026,0.2566613023514214,0.06286558569956505,0.08000000000000007,0.7959362618805345,1.0,0.2,0.1,0.1,False,False
Fur,74.09,10,10,0.14124969900504677,0.09840272499815073,0.05520736996503048,0.21999999999999997,0.43587217735824557,1.0,0.6,0.3,0.3,False,False
Fur,74.4,10,10,0.026078272085203726,0.030880820207246036,-0.006736764941077996,0.08000000000000007,0.7959362618805345,1.0,0.2,0.1,0.1,False,False
Fur,75.02,10,10,0.004852176530991952,0.00201313488757644,0.004081862403874393,-0.040000000000000036,0.9117971811470265,1.0,0.2,0.3,0.09999999999999998,False,False
Fur,75.42,10,10,0.00244742449101698,0.0,0.0035265734232213532,0.19999999999999996,0.48125094719521977,1.0,0.2,0.0,0.2,False,False
Fur,76.03,10,10,0.019502719634769426,0.050015535760641994,-0.042545049889114214,-0.30000000000000004,0.27986100586719787,1.0,0.4,0.7,0.29999999999999993,False,False
Fur,76.42,10,10,0.0025694828385625767,0.00481091443689644,-0.0032218144599884735,0.08000000000000007,0.7959362618805345,1.0,0.2,0.1,0.1,False,False
Fur,77.03,10,10,0.5453236193969424,0.5134653060505214,0.030053392942256233,0.06000000000000005,0.8534283054406895,1.0,1.0,0.9,0.09999999999999998,False,False
Fur,77.45,10,10,0.20711941769108186,0.12060698693180583,0.1072880129822383,0.32000000000000006,0.24745069172313758,1.0,0.6,0.3,0.3,False,False
Fur,78.02,10,10,0.14058416656123568,0.1341483859327606,0.00816350349486043,0.06000000000000005,0.8534283054406895,1.0,1.0,0.9,0.09999999999999998,False,False
Fur,78.48,10,10,0.05232523887082387,0.029750968576715532,0.031285179598119064,0.3600000000000001,0.19031587607439004,1.0,0.6,0.3,0.3,False,False
Fur,79.0,10,10,0.5793274474299213,0.5217632980253673,0.0535663482177615,0.020000000000000018,0.9705124596765464,1.0,1.0,0.9,0.09999999999999998,False,False
Fur,79.48,10,10,0.2335747222670821,0.109909045070513,0.15240365244516746,0.3999999999999999,0.143140141592154,1.0,0.6,0.2,0.39999999999999997,False,True
Fur,80.06,10,10,0.15960140245963805,0.14292262108775772,0.020901250801886585,0.040000000000000036,0.9117971811470265,1.0,1.0,0.9,0.09999999999999998,False,False
Fur,80.55,10,10,0.0632942108346278,0.0310382673547391,0.04444296235387213,0.3999999999999999,0.143140141592154,1.0,0.6,0.2,0.39999999999999997,False,True
Fur,81.02,10,10,0.8218960513359518,0.6690617883330763,0.12640328424722896,0.29000000000000004,0.31499924224382436,1.0,0.9,0.9,0.0,False,False
Fur,81.11,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Fur,81.58,10,10,0.36760454997367015,0.14199008455980794,0.26010100327424274,0.3999999999999999,0.143140141592154,1.0,0.6,0.2,0.39999999999999997,False,True
Fur,82.07,10,10,0.09577459302886812,0.06753174919661023,0.03767208104888739,0.18999999999999995,0.5288488601182101,1.0,0.7,0.5,0.19999999999999996,False,False
Fur,82.62,10,10,0.0273277947816786,0.014674791633599438,0.01787917277589795,0.17999999999999994,0.5288488601182101,1.0,0.4,0.2,0.2,False,False
Fur,83.04,10,10,0.2131004999939719,0.10000298373265104,0.1411916392604001,0.17999999999999994,0.5288488601182101,1.0,0.6,0.4,0.19999999999999996,False,False
Fur,83.11,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Fur,83.61,10,10,0.07803355727633604,0.0010057479315882267,0.10695182895391182,0.22999999999999998,0.43587217735824557,1.0,0.3,0.1,0.19999999999999998,False,False
Fur,84.07,10,10,0.006594639158982664,0.0,0.009482819578343194,0.19999999999999996,0.48125094719521977,1.0,0.2,0.0,0.2,False,False
Fur,84.64,10,10,0.00079713965227235,0.0,0.001149571299644821,0.10000000000000009,0.7393643508194593,1.0,0.1,0.0,0.1,False,False
Fur,85.03,10,10,0.013634399080536574,0.0040793447500461506,0.013664111262718142,-0.07999999999999996,0.7959362618805345,1.0,0.1,0.2,0.1,False,False
Fur,85.11,10,10,0.013212492590429068,0.0,0.018936770247487574,0.10000000000000009,0.7393643508194593,1.0,0.1,0.0,0.1,False,False
Fur,85.65,10,10,0.014228348974461808,0.0,0.020382505245125717,0.19999999999999996,0.48125094719521977,1.0,0.2,0.0,0.2,False,False
Fur,86.1,10,10,0.004314639322839153,0.0,0.006211318569763226,0.19999999999999996,0.48125094719521977,1.0,0.2,0.0,0.2,False,False
Fur,86.24,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Fur,86.83,10,10,0.0019893086536729504,0.0,0.002867114885799862,0.10000000000000009,0.7393643508194593,1.0,0.1,0.0,0.1,False,False
Fur,87.03,10,10,0.00117976647225343,0.006276040876077529,-0.007325078417723404,-0.12,0.6842105263157896,1.0,0.1,0.2,0.1,False,False
Fur,88.03,10,10,0.0015013176569522667,0.01200660068180134,-0.01505438057487729,-0.33999999999999997,0.21756262313537858,1.0,0.1,0.4,0.30000000000000004,False,True
Fur,88.12,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
