Tissue,Feature,n_cancer_animals,n_control_animals,cancer_mean,control_mean,log2_fc_plus1_cancer_control,rank_biserial_cancer_control,p_mwu,FDR_BH,cancer_detection_frequency,control_detection_frequency,absolute_detection_frequency_difference,FDR_significant,detection_difference_gt_0_30
Liver,50.01,6,4,0.030513324493814293,0.03461344856180709,-0.005728690857570635,-0.5833333333333333,0.17142857142857143,1.0,1.0,1.0,0.0,False,False
Liver,51.01,6,4,0.2275512901993343,0.23197513746351306,-0.005189835994833611,-0.25,0.6095238095238095,1.0,1.0,1.0,0.0,False,False
Liver,52.02,6,4,0.12035031581029655,0.12404775794097983,-0.004753422589312155,-0.16666666666666663,0.7619047619047619,1.0,1.0,1.0,0.0,False,False
Liver,53.02,6,4,0.8715170411492941,0.9107362758011279,-0.029920483184087073,-0.33333333333333337,0.47619047619047616,1.0,1.0,1.0,0.0,False,False
Liver,54.04,6,4,0.44826109847882273,0.47801556636612785,-0.029339743060212843,-0.16666666666666663,0.7619047619047619,1.0,1.0,1.0,0.0,False,False
Liver,55.03,6,4,4.295747160385667,4.6594148105830415,-0.09581864068741486,-0.16666666666666663,0.7619047619047619,1.0,1.0,1.0,0.0,False,False
Liver,56.04,6,4,0.7477437822450682,0.6654846578694709,0.06955163823243929,0.6666666666666667,0.11428571428571428,1.0,1.0,1.0,0.0,False,False
Liver,57.03,6,4,1.4455656361786249,1.6625687780484975,-0.122650607267632,-0.08333333333333337,0.9142857142857143,1.0,1.0,1.0,0.0,False,False
Liver,58.06,6,4,3.378296767307155,3.0453416290452315,0.11410820241960891,0.5,0.2571428571428571,1.0,1.0,1.0,0.0,False,False
Liver,59.06,6,4,0.8433843689718487,0.7618921770204814,0.06523128453957089,0.41666666666666674,0.35238095238095235,1.0,1.0,1.0,0.0,False,False
Liver,60.07,6,4,0.52749132446159,0.48013071138194097,0.04543959924597035,0.33333333333333326,0.47619047619047616,1.0,1.0,1.0,0.0,False,False
Liver,61.02,6,4,0.016095368188216077,0.01394901705744855,0.003050703037537624,0.25,0.6095238095238095,1.0,0.6666666666666666,0.75,0.08333333333333337,False,False
Liver,61.98,6,4,0.016356072270645183,0.016417806889941572,-8.762826997179744e-05,0.33333333333333326,0.47619047619047616,1.0,0.8333333333333334,1.0,0.16666666666666663,False,False
Liver,63.0,6,4,0.12634255457757268,0.12753535611750694,-0.0015270117506527765,0.0,1.0,1.0,1.0,1.0,0.0,False,False
Liver,64.03,6,4,0.028745202463875963,0.029245269753526162,-0.0007011156007060364,-0.25,0.6095238095238095,1.0,1.0,1.0,0.0,False,False
