Tissue,Feature,n_cancer_animals,n_control_animals,cancer_mean,control_mean,log2_fc_plus1_cancer_control,rank_biserial_cancer_control,p_mwu,FDR_BH,cancer_detection_frequency,control_detection_frequency,absolute_detection_frequency_difference,FDR_significant,detection_difference_gt_0_30
Serum,50.01,8,4,0.000863396320716503,0.0008910348067655813,-3.9838959408106095e-05,0.03125,1.0,1.0,0.375,0.25,0.125,False,False
Serum,51.01,8,4,0.13154479572340233,0.1506855293444395,-0.024199914139938813,-0.3125,0.46060606060606063,1.0,1.0,1.0,0.0,False,False
Serum,52.02,8,4,0.06663774930836655,0.08059939478925701,-0.018761486703756734,-0.5,0.21414141414141416,1.0,1.0,1.0,0.0,False,False
Serum,53.02,8,4,0.4627005510801,0.563887136457985,-0.09650195274389944,-0.4375,0.2828282828282829,1.0,1.0,1.0,0.0,False,False
Serum,54.04,8,4,0.21507506814858168,0.27969733246025064,-0.0747571843905322,-0.5625,0.15353535353535355,1.0,1.0,1.0,0.0,False,False
Serum,55.03,8,4,2.0235144299983183,2.34782321743981,-0.14699688366298083,-0.375,0.3676767676767677,1.0,1.0,1.0,0.0,False,False
Serum,56.04,8,4,0.39501756861211396,0.482292441206914,-0.08754681354473325,-0.375,0.3676767676767677,1.0,1.0,1.0,0.0,False,False
Serum,57.03,8,4,0.982948571124209,1.3065661446683676,-0.21809940375409054,-0.6875,0.07272727272727274,1.0,1.0,1.0,0.0,False,False
Serum,58.06,8,4,1.3016277185775316,1.7668115703166474,-0.2655698939252741,-0.875,0.01616161616161616,1.0,1.0,1.0,0.0,False,False
Serum,59.06,8,4,0.38189944001264886,0.4666456273813641,-0.08586769196792139,-0.375,0.3676767676767677,1.0,1.0,1.0,0.0,False,False
Serum,60.07,8,4,0.2086201231872507,0.2576385144911378,-0.057356437312260374,-0.5,0.21414141414141416,1.0,1.0,1.0,0.0,False,False
Serum,61.02,8,4,0.002239095315199475,0.0,0.0032267205864442857,0.25,0.5696969696969697,1.0,0.25,0.0,0.25,False,False
Serum,61.98,8,4,0.06749877468315017,0.050093868741954185,0.023716116530182307,0.25,0.5696969696969697,1.0,1.0,1.0,0.0,False,False
Serum,63.0,8,4,1.5486906433475742,1.5621855950818002,-0.007618711266543271,0.0625,0.9333333333333333,1.0,1.0,1.0,0.0,False,False
Serum,64.03,8,4,0.0006337841013017063,0.0016054807455397125,-0.0014002942251296188,-0.0625,0.9333333333333333,1.0,0.25,0.25,0.0,False,False
Serum,65.03,8,4,0.2130740906218136,0.2739616359736987,-0.07065416471910795,-0.625,0.1090909090909091,1.0,1.0,1.0,0.0,False,False
Serum,65.18,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,66.02,8,4,0.08478346420691298,0.11185645844490444,-0.03556345483278315,-0.5625,0.15353535353535355,1.0,1.0,1.0,0.0,False,False
Serum,66.21,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,67.05,8,4,0.8357072840329078,1.039360105367136,-0.15178051592509414,-0.375,0.3676767676767677,1.0,1.0,1.0,0.0,False,False
Serum,67.25,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,68.05,8,4,0.17187193723836075,0.20116909828012608,-0.03562434525382249,-0.375,0.3676767676767677,1.0,1.0,1.0,0.0,False,False
Serum,68.27,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,69.05,8,4,0.7892507098986516,0.9722863260152608,-0.1405134576408858,-0.4375,0.2828282828282829,1.0,1.0,1.0,0.0,False,False
Serum,69.3,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,70.06,8,4,0.4394595907905882,0.46392597990907153,-0.02431531943608083,-0.1875,0.6828282828282828,1.0,1.0,1.0,0.0,False,False
Serum,70.33,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,71.05,8,4,0.64117629210019,0.7257307860065771,-0.07247720286155267,-0.1875,0.6828282828282828,1.0,1.0,1.0,0.0,False,False
Serum,71.37,8,4,0.0001431033493848875,0.0,0.00020643972173655872,0.125,0.8080808080808081,1.0,0.125,0.0,0.125,False,False
Serum,72.03,8,4,1.0570714967696533,1.017789367046916,0.027816355594385174,0.0,1.0,1.0,1.0,1.0,0.0,False,False
Serum,72.35,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,73.05,8,4,0.5242203763572761,0.152985627962224,0.40269697727338744,0.625,0.1090909090909091,1.0,1.0,0.5,0.5,False,True
Serum,73.38,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,74.09,8,4,0.0905555930379712,0.117468103014756,-0.035170335905826626,-0.3125,0.46060606060606063,1.0,1.0,1.0,0.0,False,False
Serum,74.4,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,75.02,8,4,0.010417805662647654,0.004024892880886062,0.00915692914641533,0.5625,0.15353535353535355,1.0,0.875,0.5,0.375,False,True
Serum,75.42,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,76.03,8,4,7.372820048950313e-05,0.0,0.00010636338827737347,0.125,0.8080808080808081,1.0,0.125,0.0,0.125,False,False
Serum,76.42,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,77.03,8,4,0.3533304993351357,0.45382413602122285,-0.10333855652395321,-0.75,0.04848484848484849,1.0,1.0,1.0,0.0,False,False
Serum,77.45,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,78.02,8,4,0.11988507637199822,0.13378169900000492,-0.017792197918227844,-0.1875,0.6828282828282828,1.0,1.0,1.0,0.0,False,False
Serum,78.48,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,79.0,8,4,0.7051916416441233,0.6609526900682811,0.03792290803834017,0.3125,0.46060606060606063,1.0,1.0,1.0,0.0,False,False
Serum,79.48,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,80.06,8,4,0.13132983490706124,0.15480994034343046,-0.029635828232121887,-0.375,0.3676767676767677,1.0,1.0,1.0,0.0,False,False
Serum,80.55,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Serum,81.02,8,4,4.5251144589627,4.091595283231133,0.11788660389023037,0.375,0.3676767676767677,1.0,1.0,1.0,0.0,False,False
Serum,81.11,8,4,4.355334243349375e-05,0.0039438556944800815,-0.005615757804474888,-0.4375,0.2828282828282829,1.0,0.125,0.5,0.375,False,True
