analysis_level,Feature,RF_fold_selection_frequency,univariate_fold_selection_frequency,plsda_fold_selection_frequency,mean_selection_frequency,detection_rate,stable_by_both_criteria
spot-level,80.06,1.0,1.0,0.026,1.0,,True
spot-level,52.02,1.0,1.0,0.0,1.0,,True
spot-level,53.02,1.0,1.0,0.026,1.0,,True
spot-level,54.04,1.0,1.0,1.0,1.0,,True
spot-level,67.05,1.0,1.0,1.0,1.0,,True
spot-level,66.02,1.0,1.0,0.0,1.0,,True
spot-level,118.07,0.947,0.974,0.0,0.961,,True
spot-level,55.03,0.632,0.947,1.0,0.789,,False
spot-level,74.09,0.526,0.974,0.0,0.75,,False
spot-level,78.02,0.184,1.0,0.0,0.592,,False
spot-level,65.03,0.184,1.0,0.0,0.592,,False
spot-level,69.05,0.447,0.684,1.0,0.566,,False
spot-level,167.05,0.105,1.0,0.0,0.553,,False
spot-level,141.06,0.974,0.053,0.0,0.513,,False
spot-level,145.09,1.0,0.0,0.0,0.5,,False
spot-level,152.03,0.026,0.974,0.0,0.5,,False
spot-level,119.03,0.974,0.0,0.0,0.487,,False
spot-level,156.85,0.974,0.0,1.0,0.487,,False
spot-level,131.08,0.947,0.0,0.0,0.474,,False
spot-level,130.06,0.0,0.868,0.0,0.434,,False
spot-level,79.0,0.632,0.0,1.0,0.316,,False
spot-level,68.05,0.237,0.079,0.0,0.158,,False
spot-level,83.04,0.053,0.105,1.0,0.079,,False
spot-level,51.01,0.0,0.158,0.0,0.079,,False
spot-level,120.08,0.0,0.105,0.0,0.053,,False
spot-level,128.05,0.079,0.0,0.0,0.039,,False
spot-level,133.1,0.079,0.0,0.0,0.039,,False
spot-level,108.94,0.0,0.026,0.0,0.013,,False
spot-level,139.04,0.0,0.026,0.0,0.013,,False
spot-level,143.08,0.0,0.026,0.0,0.013,,False
spot-level,170.82,0.0,0.0,0.0,0.0,,False
spot-level,170.11,0.0,0.0,0.0,0.0,,False
spot-level,169.91,0.0,0.0,0.0,0.0,,False
spot-level,169.08,0.0,0.0,0.0,0.0,,False
spot-level,168.93,0.0,0.0,0.0,0.0,,False
spot-level,171.06,0.0,0.0,0.0,0.0,,False
spot-level,168.26,0.0,0.0,0.0,0.0,,False
spot-level,168.07,0.0,0.0,0.0,0.0,,False
spot-level,165.79,0.0,0.0,0.0,0.0,,False
spot-level,185.05,0.0,0.0,0.0,0.0,,False
spot-level,184.23,0.0,0.0,0.0,0.0,,False
spot-level,184.1,0.0,0.0,0.0,0.0,,False
spot-level,182.93,0.0,0.0,0.0,0.0,,False
spot-level,182.0,0.0,0.0,0.0,0.0,,False
spot-level,181.09,0.0,0.0,0.0,0.0,,False
spot-level,180.88,0.0,0.0,0.0,0.0,,False
spot-level,180.04,0.0,0.0,0.0,0.0,,False
spot-level,179.05,0.0,0.0,0.0,0.0,,False
spot-level,166.05,0.0,0.0,0.0,0.0,,False
spot-level,176.87,0.0,0.0,0.0,0.0,,False
spot-level,174.87,0.0,0.0,0.0,0.0,,False
spot-level,173.87,0.0,0.0,0.0,0.0,,False
spot-level,173.13,0.0,0.0,0.0,0.0,,False
spot-level,172.82,0.0,0.0,0.0,0.0,,False
spot-level,172.09,0.0,0.0,0.0,0.0,,False
spot-level,171.89,0.0,0.0,0.0,0.0,,False
spot-level,171.64,0.0,0.0,0.0,0.0,,False
spot-level,178.05,0.0,0.0,0.0,0.0,,False
spot-level,150.41,0.0,0.0,0.0,0.0,,False
spot-level,150.94,0.0,0.0,0.0,0.0,,False
spot-level,150.04,0.0,0.0,0.0,0.0,,False
spot-level,151.21,0.0,0.0,0.0,0.0,,False
spot-level,152.45,0.0,0.0,0.0,0.0,,False
